index,essayId,actualScore,openAIPredictedScore,scoreOffset
150,3f4fcbb,4,3,-1
151,9c50ac5,3,2,-1
152,6435caa,4,5,1
153,83f3017,5,4,-1
154,f79be82,3,2,-1
155,c6bcaaa,2,3,1
156,9b3744a,4,3,-1
157,dee7e18,1,2,1
158,c61cc1b,3,3,0
159,04e6cd8,2,2,0
160,94cf58f,4,5,1
161,b386564,3,3,0
162,d15c0e4,2,2,0
163,d35b054,3,2,-1
164,805203f,2,2,0
165,70ae282,1,2,1
166,b414e20,3,4,1
167,d0fdfd2,2,3,1
168,4d6b8ea,4,4,0
169,1608b25,5,3,-2
170,9f60771,4,5,1
171,0fb0f34,2,3,1
172,3572116,2,3,1
173,ce1060a,2,2,0
174,126b69a,4,4,0
175,dba50d5,3,2,-1
176,9df167d,3,3,0
177,5819ded,4,4,0
178,ed9ca2f,4,5,1
179,5e4b977,2,4,2
180,c62d306,2,3,1
181,9235e6e,3,2,-1
182,eebc4eb,3,3,0
183,5d34717,2,3,1
184,1c030ff,1,3,2
185,1fbf8b4,2,2,0
186,e7b6eea,4,3,-1
187,7e9871d,4,4,0
188,e165a2c,5,4,-1
189,80828df,4,4,0
190,9350c11,4,4,0
191,bbbd46b,2,2,0
192,11547d4,1,2,1
193,bc09367,1,2,1
194,3c30a03,2,3,1
195,6f7f3f7,2,3,1
196,8a56381,2,2,0
197,fdeac71,4,4,0
198,a411b28,2,3,1
199,53b7652,4,4,0
200,72d06e4,3,3,0
201,e253356,3,2,-1
202,b418969,3,2,-1
203,9c0fcae,4,3,-1
204,fa4067f,3,3,0
205,b3340d9,2,3,1
206,ff74f94,5,5,0
207,3bd062d,1,2,1
208,a43fd9e,2,3,1
209,512072d,4,3,-1
210,0b72cc9,3,3,0
211,59b0500,3,3,0
212,268f950,3,4,1
213,5ee3045,3,3,0
214,36d421c,3,3,0
215,2c45808,3,2,-1
216,148f1e2,3,4,1
217,830530f,1,2,1
218,4704fdb,3,2,-1
219,5ab9d2e,4,3,-1
220,389b212,3,3,0
221,dcc69b7,4,3,-1
222,b092ece,4,3,-1
223,1eccede,5,5,0
224,01dabde,5,2,-3
225,4a9461d,3,3,0
226,b8039a4,4,3,-1
227,24e42b3,2,4,2
228,84c3380,2,2,0
229,99b9e95,2,3,1
230,202b78d,2,2,0
231,08f5a36,5,4,-1
232,429a441,2,3,1
233,f1c81a1,2,3,1
234,22a5954,4,3,-1
235,1d38f14,4,3,-1
236,fa00450,2,3,1
237,4469cc3,3,4,1
238,3494df9,2,4,2
239,d7dbef8,3,3,0
240,492fb37,4,4,0
241,5ebc160,3,3,0
242,850fee6,3,3,0
243,a83390c,3,3,0
244,b85b50c,2,3,1
245,807c627,2,3,1
246,c2d42a7,2,3,1
247,729d99e,4,3,-1
248,608dab7,3,4,1
249,f552c79,3,4,1
250,7ebe893,3,3,0
251,c3c95ba,4,4,0
252,22e1e7a,4,2,-2
253,030b9ea,2,3,1
254,f86059d,1,2,1
255,c29152d,3,3,0
256,e960524,4,4,0
257,ee591fd,3,3,0
258,4c06862,4,3,-1
259,bbd6e25,3,5,2
260,8b57e29,2,3,1
261,357c8cc,5,3,-2
262,7690141,2,3,1
263,e221e9b,4,4,0
264,6c7537f,3,3,0
265,c263424,3,3,0
266,47288ad,3,3,0
267,f0df78a,3,4,1
268,8ab44d2,3,4,1
269,55e620e,4,4,0
270,41c10b3,3,3,0
271,0f87684,3,3,0
272,62f4cd8,4,3,-1
273,d4216d3,3,3,0
274,8388adc,4,4,0
275,39aa8f8,3,3,0
276,e7cb0c2,2,3,1
277,72aaa3b,2,3,1
278,66f6732,2,2,0
279,2171ee8,2,4,2
280,a36cf12,2,2,0
281,bd3ec7d,6,4,-2
282,085092e,2,3,1
283,0a31cd0,4,4,0
284,4fd22d9,2,3,1
285,630d014,5,5,0
286,490d612,4,4,0
287,af4c619,3,3,0
288,bfa8186,4,4,0
289,3a0686c,3,2,-1
290,1f7c690,2,3,1
291,f43f81c,4,4,0
292,bad6c34,5,3,-2
293,14c37b2,4,2,-2
294,c2c2fff,2,4,2
295,8ff1820,4,4,0
296,225c5ce,4,4,0
297,491120f,2,2,0
298,a4adf34,5,4,-1
299,f53d743,3,2,-1
300,1f55e4c,3,3,0
301,f7c62d8,3,3,0
302,81886f2,3,3,0
303,b63e6e4,3,2,-1
304,524ed9f,4,4,0
305,24ce1cb,3,3,0
306,aca3239,3,3,0
307,35fea99,4,3,-1
308,0a494e5,3,3,0
309,c559e18,5,4,-1
310,f983854,2,2,0
311,01e78c7,2,2,0
312,2bd315e,2,3,1
313,aeb20e5,1,3,2
314,3fdbec2,2,3,1
315,7f840dc,2,2,0
316,64573a3,5,4,-1
317,9a84d5f,3,2,-1
318,6ebd8ca,3,3,0
319,d16503d,4,3,-1
320,d7d13df,1,3,2
321,19d6dc5,3,4,1
322,6e41e6f,4,4,0
323,5f7a504,3,4,1
324,65f5a36,3,4,1
325,868ba1d,2,3,1
326,f137caa,2,3,1
327,e907a55,3,3,0
328,66ced2a,2,2,0
329,f03ad07,3,3,0
330,7c16669,3,4,1
331,4e27e9c,3,3,0
332,d63fc88,3,3,0
333,9c338c4,1,2,1
334,bb515f8,4,3,-1
335,2472175,2,3,1
336,78e7c87,3,3,0
337,a3d5702,4,3,-1
338,8dbc20e,2,3,1
339,82dd80e,5,3,-2
340,82c32c5,3,3,0
341,b605521,1,2,1
342,9ec345f,2,3,1
343,2fb3ec0,3,4,1
344,d5e312e,2,5,3
345,f6ccf5b,2,4,2
346,c9f83ef,2,3,1
347,54d0c9d,3,3,0
348,31a4f01,3,2,-1
349,a546e10,3,3,0
350,bda3f1b,2,3,1
351,ca340eb,5,3,-2
352,66b5046,3,3,0
353,e4ceb7c,2,2,0
354,7d0c484,2,2,0
355,52393de,4,2,-2
356,8f3c920,2,3,1
357,eedcb15,4,4,0
358,7c8732f,3,3,0
359,76506c9,4,3,-1
360,b5de127,3,3,0
361,acc1e20,2,2,0
362,9389e5b,3,4,1
363,92f46f7,1,3,2
364,9c06337,3,3,0
365,719648c,3,3,0
366,73170ca,3,2,-1
367,23b0b0f,3,3,0
368,fb73e38,3,3,0
369,a4f89e4,2,2,0
370,20d9bb9,3,2,-1
371,6bf05a5,3,4,1
372,96904d6,3,3,0
373,f4ca3ba,4,4,0
374,c09c0d0,3,4,1
375,10416ad,5,4,-1
376,1b9b518,4,3,-1
377,ae0c1d5,2,2,0
378,eab45cd,2,2,0
379,301ae02,4,2,-2
380,a2f9ade,3,2,-1
381,35ba672,4,3,-1
382,80d54a1,4,4,0
383,4923deb,2,3,1
384,52eba6d,4,4,0
385,5c17dfa,3,2,-1
386,2b85ea9,3,4,1
387,89c32d6,3,3,0
388,b3a5545,1,2,1
389,a6bcef5,4,4,0
390,f225436,3,4,1
391,e83337e,5,5,0
392,f3b3d3b,4,4,0
393,8767f3b,2,3,1
394,377afe7,3,4,1
395,a79494d,3,3,0
396,8bd7089,3,3,0
397,82defb4,4,4,0
398,c5e85f4,2,3,1
399,c155b60,3,3,0
400,876217e,3,3,0
401,7d2ffee,3,3,0
402,78569ca,2,4,2
403,8ef65cd,2,2,0
404,1f535d8,3,3,0
405,d8ff78a,2,3,1
406,f9e3c52,5,4,-1
407,36ff4b3,3,3,0
408,9ddf1bf,3,3,0
409,a3727fc,3,3,0
410,2c8f20b,3,2,-1
411,f5f56fb,4,4,0
412,bddf5ed,2,4,2
413,c966d0a,3,3,0
414,aa5b031,4,4,0
415,b08a814,2,3,1
416,dc1426e,3,3,0
417,a704ae6,5,3,-2
418,7b6980b,2,3,1
419,fe0199f,4,4,0
420,e922094,4,3,-1
421,716b5df,6,4,-2
422,ba47e27,4,3,-1
423,3946e1a,5,4,-1
424,a65ffd0,3,3,0
425,7ae56ec,4,3,-1
426,4a406d9,1,3,2
427,6954731,3,4,1
428,4993cfc,4,2,-2
429,f5302c6,2,3,1
430,3e78c7c,4,4,0
431,71bc28b,4,4,0
432,857f300,4,4,0
433,6093fe0,2,3,1
434,5f12a6b,3,3,0
435,c0debaf,3,4,1
436,8a76b69,4,4,0
437,3c4f799,3,3,0
438,91835e2,3,4,1
439,45b937e,2,2,0
440,13caa1f,3,3,0
441,104c9c2,3,3,0
442,1bbd259,3,4,1
443,6fdced4,4,2,-2
444,acecdfa,3,3,0
445,95a87d0,3,2,-1
446,9713de0,2,3,1
447,e3ea792,3,2,-1
448,4c822ee,5,3,-2
449,a7d63d1,2,3,1
450,3548801,4,5,1
451,d822d6b,2,3,1
452,3688184,3,4,1
453,1b23e99,2,4,2
454,f757267,2,3,1
455,e61d232,2,3,1
456,f93c8fd,2,3,1
457,c863729,3,2,-1
458,4ab92e8,4,4,0
459,c131d2e,3,3,0
460,4e123c6,3,4,1
461,38d7876,3,2,-1
462,197ea96,2,3,1
463,7fc6b23,3,4,1
464,6e095cc,3,3,0
465,13154fa,1,2,1
466,c8fb95a,3,3,0
467,ac845ca,4,3,-1
468,b299795,5,5,0
469,47b9921,4,4,0
470,eaab74e,3,3,0
471,5b8791b,1,2,1
472,2a52391,3,3,0
473,04da4bf,3,3,0
474,e4dcbca,5,4,-1
475,b4b79a0,4,4,0
476,9921ad6,4,3,-1
477,6e4237e,3,3,0
478,0aa9cee,3,4,1
479,7d11870,4,3,-1
480,59101f7,3,3,0
481,c909c7d,3,3,0
482,77418ee,4,3,-1
483,f006a31,4,3,-1
484,5de5793,4,4,0
485,ed42697,2,3,1
486,5320672,2,2,0
487,1c3468c,3,2,-1
488,56bf90e,2,3,1
489,73e244a,3,3,0
490,cdc231b,2,2,0
491,1bae5bf,3,3,0
492,bcb1ec7,2,3,1
493,0da206f,2,3,1
494,043e1a0,3,3,0
495,7cd47f9,2,3,1
496,6a9fa03,2,2,0
497,89cee1d,4,3,-1
498,b5d0ba1,2,3,1
499,ecb977a,4,3,-1
500,6b9b583,4,4,0
501,5422580,4,3,-1
502,0a919e7,2,3,1
503,3886ce6,4,4,0
504,09e4fce,3,4,1
505,c4740ce,4,2,-2
506,ff982af,2,2,0
507,69065dc,3,3,0
508,92ada7c,3,3,0
509,fb64847,2,2,0
510,2a857fb,3,3,0
511,0b23a57,4,4,0
512,6fe17cd,2,3,1
513,4d0c575,2,4,2
514,ad85676,1,2,1
515,8a1fcce,2,3,1
516,bd6ce41,3,3,0
517,2aca278,5,4,-1
518,2440f97,2,2,0
519,757bc75,3,3,0
520,e564726,4,3,-1
521,7a50491,4,2,-2
522,fcf223a,3,5,2
523,4a3a4a4,5,3,-2
524,69fd284,2,3,1
525,3bb67ff,2,2,0
526,a86412f,4,3,-1
527,bb76300,2,2,0
528,24cd6b4,3,4,1
529,da5e16e,3,3,0
530,b2def99,3,4,1
531,ea134d7,4,3,-1
532,4999445,4,3,-1
533,8eee8c8,1,2,1
534,03c7046,2,4,2
535,6b9a6c6,2,2,0
536,246c075,4,4,0
537,cf315d3,4,4,0
538,434ddb5,2,2,0
539,208907c,1,2,1
540,3714edf,1,2,1
541,bbcf9b5,2,3,1
542,2ee1a20,4,2,-2
543,5cefbf4,4,3,-1
544,16d8683,3,2,-1
545,54f35f7,3,3,0
546,93c06c0,3,3,0
547,a608acf,3,4,1
548,f695ac7,4,3,-1
549,57bd6d9,2,2,0
550,9a46d11,2,4,2
551,60bdd6f,3,3,0
552,0fa8295,4,3,-1
553,165ce2a,3,4,1
554,29b1abb,1,3,2
555,da34069,3,4,1
556,eb74063,3,3,0
557,d5bc512,3,3,0
558,3ea008d,3,3,0
559,091a8ca,3,4,1
560,c7f6c0e,4,4,0
561,3aedc23,3,3,0
562,3aff9ea,2,3,1
563,33fd8e1,3,3,0
564,8e9109b,5,4,-1
565,1f0364d,3,3,0
566,06d32ab,4,3,-1
567,c2cfb38,2,2,0
568,ceead0f,4,3,-1
569,d8fe8c6,3,3,0
570,de27b5d,3,3,0
571,1de153e,4,4,0
572,e6bea39,3,2,-1
573,3cb576b,3,3,0
574,7c7715f,4,4,0
575,0df2924,3,2,-1
576,c74a14f,3,4,1
577,57dfbe2,3,3,0
578,9594ee4,3,3,0
579,80c6855,2,3,1
580,eaf37c0,4,4,0
581,3b493e0,5,5,0
582,7056339,4,4,0
583,18397b4,3,3,0
584,ced486b,2,3,1
585,ee3303c,2,2,0
586,ef04c29,4,3,-1
587,2d454ec,2,2,0
588,eb64cf8,4,3,-1
589,482815c,2,3,1
590,b14f68a,2,3,1
591,5a8cc99,2,2,0
592,4c5ca34,3,3,0
593,07d1a3b,2,3,1
594,2e5b73c,4,3,-1
595,7628f84,2,3,1
596,bd4b534,1,3,2
597,7b7b6b3,4,3,-1
598,b393f44,2,3,1
599,acd5ada,3,3,0
600,ff7020a,3,3,0
601,acbe7d6,3,3,0
602,9b35ea1,3,3,0
603,e1d1b25,3,3,0
604,a0a15e3,4,4,0
605,dabc74a,3,3,0
606,de93f41,3,3,0
607,7e9eb24,3,3,0
608,372ad46,2,2,0
609,7a1ec62,3,2,-1
610,ea0d62c,2,3,1
611,8af8b09,3,2,-1
612,4b1290d,2,2,0
613,f48e2a1,3,3,0
614,e3499a3,3,3,0
615,5c0836b,2,2,0
616,2cc2a54,2,2,0
617,d7203b6,3,3,0
618,4bc1b8b,2,3,1
619,c559d42,3,4,1
620,3c0d251,2,4,2
621,4bd15b7,2,3,1
622,9960203,3,2,-1
623,eee008f,2,3,1
624,c89cf64,3,2,-1
625,b5dda6c,5,5,0
626,107c77b,4,4,0
627,bcd3585,2,3,1
628,85f8412,2,2,0
629,08207e4,3,2,-1
630,31e4327,1,2,1
631,57b9fad,4,3,-1
632,52f2649,5,4,-1
633,faf644c,3,3,0
634,04d2b73,4,3,-1
635,72d90ad,5,2,-3
636,88b0a4f,3,3,0
637,6b80d53,2,4,2
638,7bf4c14,2,3,1
639,e02219b,3,3,0
640,6c4d482,3,3,0
641,d6cbb21,2,3,1
642,9bac66a,4,3,-1
643,925a4ca,1,2,1
644,c2f9e43,1,2,1
645,c4f0bd2,3,3,0
646,d72438a,2,3,1
647,ecaf156,4,4,0
648,a8675e4,4,2,-2
649,b84aaeb,3,2,-1
650,08f22e9,3,3,0
651,76afaf5,2,2,0
652,2315ee0,4,3,-1
653,e4288ad,4,3,-1
654,6f15dae,3,3,0
655,d08a5ef,3,3,0
656,c173c02,5,4,-1
657,5dae838,4,5,1
658,cbd49f8,5,4,-1
659,5d99b40,3,4,1
660,0bb0bc1,4,4,0
661,bcbbbd3,3,4,1
662,6df56fa,3,3,0
663,b741f16,5,4,-1
664,5e2df05,3,3,0
665,874ca36,4,4,0
666,d96ddd6,3,3,0
667,357ce9b,4,3,-1
668,aaf980b,3,3,0
669,6b29e4e,2,3,1
670,e6363da,2,2,0
671,39b6d1e,3,3,0
672,2e2a0e8,4,3,-1
673,adb7b2b,2,3,1
674,e5c6f04,2,2,0
675,fb0a7af,3,2,-1
676,31c49e5,3,3,0
677,c96e9d6,4,2,-2
678,a5afdd7,2,3,1
679,36ed198,4,4,0
680,35e2bbc,1,2,1
681,4d90197,2,3,1
682,ebb5004,4,4,0
683,3e30e6c,2,3,1
684,a935042,4,4,0
685,a10dd12,1,2,1
686,22b89af,1,3,2
687,a8621aa,4,4,0
688,fa5d67a,3,4,1
689,e89c701,2,3,1
690,8a526cd,4,3,-1
691,10be2a0,2,3,1
692,11b3326,3,2,-1
693,e275b16,3,3,0
694,c6b85ec,3,3,0
695,11160a7,4,4,0
696,aba7d09,3,3,0
697,8424b86,3,3,0
698,fffed3e,2,2,0
699,6010267,3,3,0
700,f15a47c,2,3,1
701,b3ab1d1,3,4,1
702,8078135,1,1,0
703,2e1430e,3,3,0
704,b27e01b,3,3,0
705,bc0bf87,2,3,1
706,fb0e011,3,3,0
707,c97615c,3,2,-1
708,08a5c68,4,3,-1
709,d078970,4,3,-1
710,0a30626,2,3,1
711,1314aa2,2,2,0
712,36c3a79,3,3,0
713,1a86ceb,4,3,-1
714,471fb53,3,4,1
715,c68354d,4,4,0
716,b65e4ea,4,2,-2
717,7855f61,4,4,0
718,621d3f0,3,2,-1
719,5fe80c4,3,2,-1
720,7d65d93,1,3,2
721,77539b9,4,3,-1
722,fde3769,4,4,0
723,3010bb8,1,3,2
724,2a912c5,4,4,0
725,2ce7f8d,3,2,-1
726,e1f5327,3,3,0
727,70a84ef,3,4,1
728,24adfc3,4,3,-1
729,2e0ecaa,3,4,1
730,22e3946,3,3,0
731,59ec7e2,2,4,2
732,0b8e735,2,3,1
733,9ba5419,3,2,-1
734,1cfab57,5,3,-2
735,9d04b4e,3,3,0
736,c1aec49,3,4,1
737,f808998,3,2,-1
738,4870ad6,4,4,0
739,aae7267,3,4,1
740,e3f153e,2,3,1
741,3d0abd2,4,2,-2
742,3981208,2,2,0
743,f16c799,2,2,0
744,adf1541,2,3,1
745,e88da5f,3,2,-1
746,8869eff,2,2,0
747,3d89f86,3,3,0
748,4d8bb17,3,2,-1
749,aac6485,3,3,0
750,5ab9aee,3,3,0
751,1d1b2ad,2,2,0
752,442da01,4,3,-1
753,fd851aa,3,3,0
754,6e0482c,3,2,-1
755,26337f6,3,3,0
756,215bc41,3,4,1
757,6f109fd,5,5,0
758,a28d58a,4,3,-1
759,3495f1e,2,3,1
760,1643f02,3,3,0
761,04e1177,2,2,0
762,418f0dc,6,4,-2
763,839a2b5,4,5,1
764,94dfe02,2,2,0
765,28070d2,1,2,1
766,37931dc,3,3,0
767,b3e4b16,3,4,1
768,2f73d77,2,3,1
769,3793f1a,4,4,0
770,94950c1,3,3,0
771,c99384d,4,3,-1
772,5ef684b,2,3,1
773,3d1a0fa,2,3,1
774,a9535dd,4,3,-1
775,1a87f1c,3,3,0
776,160dc72,3,3,0
777,f5a6bfe,3,4,1
778,c4c72a0,4,3,-1
779,6f33e1d,5,4,-1
780,57998bc,2,3,1
781,e9fd355,4,3,-1
782,48f29aa,4,4,0
783,b6aa357,1,2,1
784,7ee16a7,2,3,1
785,fabcca0,2,3,1
786,303710c,4,3,-1
787,07ca280,4,3,-1
788,40b7257,2,4,2
789,201fd9c,2,3,1
790,622fa19,4,3,-1
791,1d6c98e,2,2,0
792,bcc379e,3,4,1
793,bc034fb,3,4,1
794,62edb06,4,4,0
795,b42fc25,2,3,1
796,a5dceeb,3,2,-1
797,995e34c,1,3,2
798,7ea5cd7,3,2,-1
799,0ef994a,2,4,2
800,135c9a2,3,4,1
801,762d2ae,1,2,1
802,1315576,3,3,0
803,5eac6d2,3,2,-1
804,a815b01,3,3,0
805,c90aba8,4,3,-1
806,0719241,3,3,0
807,4408754,4,4,0
808,76b6a48,3,3,0
809,2ee795c,3,3,0
810,fc772da,3,5,2
811,6b02148,3,3,0
812,4455bef,3,2,-1
813,e9e1f6a,4,4,0
814,dfcd14b,4,3,-1
815,19b293c,3,3,0
816,f21d872,3,3,0
817,ac66230,3,3,0
818,3e15f18,3,3,0
819,d2196a3,3,3,0
820,f11dbe5,2,3,1
821,323cdd6,2,3,1
822,a718c79,1,3,2
823,66bc323,4,3,-1
824,393b2fb,3,3,0
825,feebd5a,4,3,-1
826,2dd56e8,1,2,1
827,efca066,2,2,0
828,20bf31c,3,4,1
829,8d0fdf7,5,4,-1
830,0066c7c,2,2,0
831,b256b1b,2,3,1
832,aa14b2b,5,5,0
833,2e8c47c,1,3,2
834,aedc5c8,3,3,0
835,396197e,1,3,2
836,54b7156,2,3,1
837,2cb68c3,4,3,-1
838,f911b99,5,3,-2
839,5efaf31,3,2,-1
840,daf7282,2,3,1
841,fda2857,2,2,0
842,cb3376d,4,3,-1
843,1582312,1,2,1
844,5413de8,3,3,0
845,2eb6973,4,5,1
846,81bb7ab,2,3,1
847,7917200,2,3,1
848,0e2b2aa,2,2,0
849,a47ba03,4,4,0
850,60a7049,2,4,2
851,43dea20,3,3,0
852,4530e97,3,2,-1
853,d62b9c4,6,4,-2
854,8cc630f,1,3,2
855,fd51489,2,3,1
856,d50b813,3,3,0
857,ec2cc36,2,3,1
858,ac2cc41,4,4,0
859,913b5d3,3,2,-1
860,1ff02e8,2,3,1
861,6c6eecf,4,4,0
862,614d93c,1,2,1
863,d85ca40,2,2,0
864,e3f5cb0,3,4,1
865,2cf20ff,4,4,0
866,51dc8d8,3,2,-1
867,c193287,2,2,0
868,196e078,3,3,0
869,61c5578,3,3,0
870,c31ef3b,5,5,0
871,89dba36,3,3,0
872,3739677,5,3,-2
873,160e4fd,2,2,0
874,a63fa18,3,2,-1
875,511a456,4,4,0
876,d596c5a,3,3,0
877,50e0abb,4,3,-1
878,7b5cdd2,3,3,0
879,1240bc6,2,3,1
880,c438a8a,4,3,-1
881,961baf8,4,3,-1
882,902eca4,2,3,1
883,c4d0651,2,4,2
884,4d3c72c,4,4,0
885,18a40e7,3,5,2
886,7941894,3,3,0
887,dbfb38b,2,2,0
888,987afbf,1,3,2
889,b7d7d61,3,5,2
890,02a7cff,2,2,0
891,11ece20,2,3,1
892,d1f55bc,1,2,1
893,12a72bd,4,4,0
894,ecbfb50,3,2,-1
895,8402548,2,3,1
896,7f5de29,3,4,1
897,a2c0d13,3,3,0
898,1651722,2,2,0
899,572e210,2,3,1
900,8ee2877,4,3,-1
901,3c2c934,3,4,1
902,1abc249,1,2,1
903,82d055f,5,3,-2
904,0b8588b,1,3,2
905,3db2fd4,2,3,1
906,9625868,3,3,0
907,a42decc,2,3,1
908,f953262,2,3,1
909,f3c4832,4,3,-1
910,37b659c,4,4,0
911,bd846c7,1,3,2
912,1eff034,2,2,0
913,4c3e4c6,2,2,0
914,32f232d,3,2,-1
915,2774edc,4,4,0
916,38a752b,2,3,1
917,3b223d8,2,3,1
918,931a807,3,3,0
919,9b80a7f,2,2,0
920,7cc875a,3,3,0
921,2bca0d3,3,3,0
922,da53428,1,2,1
923,373a9dc,4,4,0
924,a092f5e,2,3,1
925,39c8524,4,5,1
926,fee79ef,2,3,1
927,d1568dc,4,4,0
928,fa115a1,2,2,0
929,189e376,3,2,-1
930,d26fc28,3,4,1
931,d1057e0,1,2,1
932,d80af93,3,3,0
933,e0ec319,5,3,-2
934,691f21e,4,3,-1
935,8d8ac7f,3,3,0
936,111b844,5,2,-3
937,b7fd893,3,3,0
938,eee850d,3,2,-1
939,122ba79,3,3,0
940,112f03f,3,3,0
941,9a25c95,2,2,0
942,1cc05be,3,3,0
943,370df5f,1,2,1
944,6f30b0c,4,4,0
945,a994c35,3,3,0
946,caa3e02,2,2,0
947,908493d,3,3,0
948,10efec8,3,2,-1
949,9077883,3,4,1
950,2874df1,3,5,2
951,81e7d02,3,3,0
952,57b1a71,3,3,0
953,31ea4a0,3,2,-1
954,3a05703,3,2,-1
955,6b816ad,3,4,1
956,b136a25,2,3,1
957,f8e6cf7,1,2,1
958,a3de134,3,3,0
959,2a9bea8,2,4,2
960,7b835c7,2,2,0
961,6dc1f12,3,3,0
962,2059452,3,3,0
963,c36e623,2,3,1
964,48907d1,3,5,2
965,ad3c2f1,3,4,1
966,0296469,3,2,-1
967,6cb0aab,5,4,-1
968,2121299,4,3,-1
969,81f64b1,3,3,0
970,61829ce,3,3,0
971,f20afb0,3,2,-1
972,db0b11e,2,3,1
973,f4c0e9a,4,4,0
974,772bf01,4,5,1
975,3252ee0,3,3,0
976,660cbde,3,4,1
977,e2dc569,2,3,1
978,c2f04df,3,4,1
979,335fd9b,3,3,0
980,841f4aa,3,4,1
981,177409b,2,3,1
982,4b79d77,4,4,0
983,e8d9d6f,3,4,1
984,23d44f9,3,4,1
985,98e7f31,2,5,3
986,4b3469e,3,3,0
987,1a401ae,4,4,0
988,1fdd140,5,5,0
989,06d6248,3,3,0
